SciName,Taxonomy,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
Acacia pennata,Climber Vine,609059,0,0,1,0,1,0,0,0,0,0,0,0,0,77,0,0,0,0,0,30,Stable,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609060,0,0,1,0,1,0,0,0,0,0,0,0,0,130,0,0,0,0,0,60,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia sp.,Climber Vine,609061,0,0,1,1,2,0,0,12.5,12.5,0,0,0,0,5,5,25,0,0,0,18,Decrease,70,-70,Clearance,0,1,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609061,1,0,1,0,2,590,0,590,0,368.75,0,368.75,0,236,5,1180,5000,0.625,737.5,20,Decrease,50,-50,NA,1,0,0,0,0,0,1,1180,0,0,0,0,0,737.5,0,0,0,0,0,368.75,0,368.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609064,1,0,1,0,2,58,0,58,0,14.5,0,14.5,0,58,2,116,2000,0.25,29,30,Stable,0,0,NA,1,0,0,0,0,0,1,116,0,0,0,0,0,29,0,0,0,0,0,14.5,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609066,0,0,1,0,1,0,0,1320,0,0,0,0,0,66,20,1320,0,0,0,30,Stable,0,0,not change,1,0,0,0,0,0,1,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609067,0,0,1,0,1,0,0,260,0,0,0,0,0,52,5,260,0,0,0,30,Stable,0,0,NA,0,0,0,0,1,0,1,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609069,0,0,1,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,30,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609074,0,0,0,0,0,0,0,0,0,0,0,0,0,172,1,172,0,0,0,30,Stable,0,0,NA,1,0,0,0,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609075,0,0,1,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,60,Stable,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609076,0,0,1,0,1,0,0,84,0,0,0,0,0,42,2,84,0,0,0,30,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
