SciName,Taxon,Vil_Code,sell,use,food,medicine,No_HH,Unit,Qty_p_HH,Qty,Income_USD,Forest,Riparian,bamboo,bush_fallow,upland_field,others
Passiflora edulis,Vines,901004,1,0,1,0,39,????,10,390,487.5,0,0,0,1,0,0
Passiflora edulis,Vines,901001,1,0,1,0,30,????,6,180,45,0,0,0,1,0,0
Passiflora edulis,Vines,901003,1,0,1,0,39,????,10,390,487.5,0,0,0,1,0,0
Passiflora edulis,Vines,901100,1,0,1,0,137,????,20,2740,342.5,0,0,0,0,1,0
Passiflora edulis,Vines,901011,1,0,1,1,33,???,200,6600,825,0,0,0,1,0,0
Passiflora edulis,Vines,901002,1,0,1,0,20,????,20,400,25,0,0,0,1,0,0
Passiflora edulis,Vines,902116,0,0,1,0,76,kg,1,76,0,1,0,0,0,0,0
Passiflora edulis,Vines,902073,0,0,1,0,48,kg,5,240,0,1,0,0,0,0,0
Passiflora edulis,Vines,902067,0,0,1,0,109,kg,7,763,0,1,0,0,0,0,0
Paederia foetida,Vines,906003,0,0,1,0,65,????,1,65,0,1,0,0,0,0,0
Paederia foetida,Vines,906006,0,0,0,1,87,????,0.5,43.5,0,1,0,0,0,0,0
Paederia foetida,Vines,603021,0,0,0,1,100,????,1,0,0,1,0,0,0,0,0
Paederia foetida,Vines,901100,0,0,1,0,137,????,2,274,0,0,0,0,0,0,1
Paederia foetida,Vines,907053,0,0,0,1,30,kg,1,30,0,1,0,0,0,0,0
Omphisa fuscidentalis,Vines,906009,0,0,0,1,4,????,0,0,0,0,1,0,0,0,0
Omphisa fuscidentalis,Vines,902068,1,0,1,0,10,kg,1,10,50,0,0,0,0,0,1
Omphisa fuscidentalis,Vines,605045,1,0,1,0,188,kg,5,940,11750,0,0,0,0,0,0
Omphisa fuscidentalis,Vines,605046,0,0,1,0,132,kg,5,660,8250,0,0,0,0,0,0
Menispermaceae sp.,Vines,609014,0,0,1,0,5,????,1,5,0,1,0,0,0,0,0
Menispermaceae sp.,Vines,609039,0,0,1,0,30,NA,0,0,0,0,0,0,1,0,0
Menispermaceae sp.,Vines,609043,0,0,1,0,71,NA,0,0,0,1,0,0,1,0,0
Menispermaceae sp.,Vines,609083,0,0,0,1,84,????,2,168,0,1,0,0,0,0,0
Menispermaceae sp.,Vines,609085,0,0,1,0,103,????,3,309,0,0,0,0,1,0,0
Hoya sp.,Vines,906009,0,0,0,1,4,????,0.1,0.4,0,1,0,0,0,0,0
