ID,NTFP_Cleaned,SpecialNTFP,other lao names,Scientific_Name_Cleaned,Hmong,Khamu,Vil_Code,Type_la_030413,Scientific_Name_030413,Cleaned NTFP type polished round 2,Sounthone _chris 30 March,sell,use,food,medicin,No_HH,Unit,Qty_per_HH,Qty_All,Price_per_Unit,Price_All,Location_gathered_la,Time_Travel,Status_la,Status_en,Status_%,Reason_la,Reason_en,Palm,Palm1,Rattan,Rattan1,Trees,Trees1,Herb,Herb1,Shrubs,Shrubs1,Climber_Vine,Climber_Vine1,Monocot,Monocot1,Fungi,Fungi1,Tuber_limber,Tuber_limber1,Insects,Insects1,Orchid,Orchid1,Mushroom,Mushroom1,Fern,Fern1,Check_Type,Forest_Type_la,Forest_Type_CF,Forest_Type2,not a forest type,not spec'd or classed,forest in general,Dense forest,Dense moist  forest,strem source f,cool moist F,Pah Khok,pine,pine mixed,riverine forest,beside stream,stream,mixed forest,chest nut,Bamboo,Pah Khang (mainly grass'd),grassland,bush fallow gen'l,Old bush fallow,Young bush fallow,upland field,paddy,wet land,Banana forest,termite soil,tree stumps,cliff,clifftop,Other specific nisches,Check_Forest,LastUpdated
5971,?????????,,,Papilionanthe teres,???????,????????????,611058,,,,,1,0,0,0,30,????,20,600,2000,1200000,????????,60,???????,Decrease,50,???????????????,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,??????,,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
5832,??????????,,,,,,605165,,,,,1,0,1,0,60,????,10,600,30000,18000000,??????,30,???????,Not change,100,?????????????,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,,??????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
10212,???????????,,,,,,1501016,,,,,,1,,,60,?????,10,600,0,0,?????????,60,???????,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7818,?????,,,Acacia pennata,,,1105116,,,,,,,,,60,????,10,600,40000,24000000,???????-???????,120,??????,Not change,50,????????? ??? ?????????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,??????,,,,,1,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,5,
7599,??????????,het,,Lentinula edodes,,,906016,,,,,1,,1,,30,????,20,600,30000,18000000,? ????????????????,40,???????,Not change,,???????????????,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,"?????????,???????",,"?????????,???????",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
6686,?????????,,,,,,708064,,,,,0,0,0,0,20,????,30,600,500,300000,??????,40,????,Decrease,10,???????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????????????,,??????????????,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
4012,?????????,bamboo,,Indosasa sindica,???????,,609094,??????,Indosasa sinica C.D. Chou & C.S.Chao,??????,??????,0,0,1,0,60,????,10,600,,0,???????????,240,???????,Decrease,30,???????????????????,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,1,"???, ??? ???????","??????, ??? ???????","??????, ?????????????",,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,
5835,???????,,,Termitomyces sp.,????????,,605165,,,,,1,0,1,0,20,????,30,600,15000,900000,????????,60,???????,Not change,100,?????????????,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9800,???????,,,,,,1407027,,,,,,,1,,300,kg,2,600,,0,?????????????,,????????,,,"????????????????, ?????????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7623,??????,,,,,,901002,,,,,1,,1,,20,????,30,600,8000,4800000,????????,30,???????,Decrease,80,??????????????,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,??????????????,,??????????????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
11180,?????????,,,,,,1309112,,,,,1,,1,,20,kg,30,600,10000,6000000,???????,20,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
7827,???????????,,,Houttuynia cordata Thunb.,,,1105116,,,,,,,,,60,????,10,600,5000,3000000,??????????,60,????,Increase,0,??????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,????????,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6828,??????????,,,Moghania macrophylla,,,608037,,,,,1,0,0,0,20,????,30,600,500,300000,??????? ???????,90,????????,Not change,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,3,
9440,?????,,,,,,605053,,,,,,,1,,200,,3,600,,0,???????,30,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9409,??????????????,,,,,,605053,,,,,,,1,,200,,3,600,10000,6000000,??????,240,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9428,??????,,,,,,605053,,,,,,,1,,200,,3,600,,0,"?????,???????",30,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7560,??????????,het,,Lentinula edodes,,,906032,,,,,1,,1,,30,????,20,600,30000,18000000,"?????????????,??????",20,???????,Not change,,???????????????,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,"?????????,???????",,"?????????,???????",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
4987,??????????,,,Costus sp.,,,906007,??????????,,??????,??????????,1,0,0,0,30,????,20,600,1000,600000,?????????,15,????????,Not change,10,??????????????????,,,,,,,,,,1,600000,,,,,,,,,,,,,,,,,1,??????,???,???,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
11103,????????,,,,,,1309013,,,,,1,,1,,30,kg,20,600,20000,12000000,???,30,???????,,50,?????????????????????????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"??????, ????????, ????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
7413,?????????,,,Dendrocalamus hamiltonii Neest & Arn. ex Munro,,,901001,,,,,,,1,,30,????,20,600,,0,??????????,60,?????????,Increase,80,???????????.????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,???????,,???????,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
6496,?????????,,??????,Oxytenanthera parvifolia,????????,,612001,,,,,0,0,1,0,40,????,15,600,,0,????????,50,?????,Not change,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9303,??????,,,Diplazium esculentum,,,207008,,,,,,,1,,60,kg,10,600,,0,?????,20,????,,20,?????????? ??? ???????????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,?????,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,4,
6482,?????,,,Pachygone odorifera,??????????,????????,612001,,,,,0,0,1,0,40,????,15,600,,0,????,30,?????,Not change,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,????????,,????????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
4290,????????????????,,,Dendrobium lanyaiae,,,609099,??????????,,??????????,??????????,1,0,0,0,20,????,30,600,1000,600000,????,60,???????,Decrease,20,"??????????, ??",,,,,,,,,,,,,,,,,,,,,,1,600000,,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
4317,??????????,,,Denbrobium puchellum,???????,,609099,??????????,,??????????,??????????,1,0,0,1,20,????,30,600,15000,9000000,????,60,???????,Decrease,50,???????????????????,,,,,,,,,,,,,,,,,,,,,,1,9000000,,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
2348,???,,,Alpinia sp.,??????,,609046,??????,Alpinia malaccensis,??????,??????,1,0,1,0,20,????,30,600,2000,1200000,??????,10,???????,Decrease,30,????????????? ??? ????????? ???????????????,,,,,,,,,,,,,,1,1200000,,,,,,,,,,,,,1,??????????,??????????,??????????,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9429,??????,,,,,,605053,,,,,,,1,,200,,3,600,,0,"?????,???????",30,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
11225,???????,,,,,,1309091,,,,,1,,1,,20,kg,30,600,5000,3000000,????????,20,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
7247,?????????,het,,Termitomyces sp.,,,906034,,,,,1,1,1,,15,????????,40,600,20000,12000000,???????,30,????,Increase,0,?????????????????,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3493,????????,taw,,wasp genus/species unknown,????????,??????,609077,????????,,????????,????????,1,0,1,1,60,????,10,600,50000,30000000,??????,60,???????,Decrease,50,"???????, ????????????????",,,,,,,,,,,,,,,,,,,,1,30000000,,,,,,,1,??????,??????,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
7397,??????????,,,,,,901001,,,,,1,,,,30,????,20,600,2500,1500000,????????,60,???????,Decrease,80,???????????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,?????????,,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1813,??????????,,,Denbrobium puchellum,???????,,609032,??????????,,??????????,??????????,1,1,0,0,10,????,60,600,1200,720000,?????? +????????,30,?????????,Increase,80,??????? ????????????????,,,,,,,,,,,,,,,,,,,,,,1,720000,,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
9435,??????,,,,,,605053,,,,,,,1,,200,,3,600,,0,???????,180,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
