Vil_Code,Scientific_Name_Cleaned,Scientific_Genus_GB,sell,use,food,medicine,Qty_p_HH,Qty,Forest,Riparian,bamboo,bush_fallow,upland_field,others,PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Name
207008,Dracontomelon dao,Trees,0,1,0,0,20,400,1,1,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Piper sarmentosum,Vines,0,0,1,0,5,325,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Baccaurea ramiflora,Tree/Shrub,0,1,0,0,5,315,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Toona ciliata,Trees,0,1,0,0,5,75,1,1,1,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Protium serratum,Trees,0,0,1,0,1,30,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Spondias pinnata,Trees,0,0,1,0,10,650,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Dendrocalamus hamiltonii,Bamboo,0,0,1,0,10,500,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Amorphophallus paeoniifolius,Herbs,1,1,0,0,6,120,1,0,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Thysanolaena latifolia,Grass,1,0,0,0,50,2500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Phyllanthus emblica,Tree/Shrub,0,0,1,0,2,80,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Bauhinia variegata,Orchids,0,1,0,0,2,40,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Canarium sp.,Trees,1,0,1,0,4,40,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,NA,,1,0,0,0,5,100,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Russula densifolia,Mushroom/Funghi,0,0,1,0,5,225,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,NA,,1,0,0,0,5,250,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207025,Canarium pinnata,Trees,0,1,1,0,500,2500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Castanopsis sp.,Trees,0,0,1,0,5,350,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Protium serratum,Trees,0,0,1,0,0.5,35,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Oxalis corniculata,Herbs,0,0,1,0,500,35000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Ficus auriculata,Tree/Shrub,0,0,1,0,5,350,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Nephelium hypoleucum,Trees,0,0,1,0,500,35000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Sinarundinaria microphylla,Bamboo,1,1,1,0,5,350,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Schizophyllum commune,Mushroom/Funghi,0,0,1,0,5,350,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,1,0,0,0,4,200,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Musa acuminata,Herbs,0,0,1,0,1,30,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Amomum villosum,Cardamom,1,0,0,0,15,900,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,1,70,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,15,1050,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Cheilocostus speciosus,Herbs,0,0,1,0,15,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Indosasa sinica,Bamboo,0,0,1,0,20,1400,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Diplazium esculentum,Fern,0,0,1,0,1,70,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Mangifera sp.,Trees,0,0,1,0,20,1400,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,1,6,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Termitomyces indicus,Mushroom/Funghi,0,0,1,0,2,100,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,2,140,1,0,1,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Russula rosacea,Mushroom/Funghi,1,0,1,0,15,1050,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Anoectochilus lylei,Orchids,1,0,0,1,0.5,10,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Canarium sp.,Trees,0,0,1,0,2,10,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Russula densifolia,Mushroom/Funghi,0,0,1,0,2,140,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Dendrobium capillipes,Orchids,0,1,0,0,1,15,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,1,3,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,1,70,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Auricularia polytricha,Mushroom/Funghi,1,0,1,0,10,700,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,NA,,0,0,1,0,1,70,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207025,Baccaurea ramiflora,Tree/Shrub,0,0,1,0,2,140,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Houai khong
207026,NA,,0,0,1,0,2,96,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Thysanolaena latifolia,Grass,1,1,0,0,3,144,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,5,25,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,48,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,2,124,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,2,96,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Canarium sp.,Trees,0,0,1,0,3,45,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,2,10,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,2,96,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Amomum villosum,Cardamom,0,0,1,0,2,96,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Diplazium esculentum,Fern,0,0,1,0,2,96,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Capparis acutifolia,Shrubs,1,0,1,0,1,48,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,20,1,1,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,1,0,0,0,2,10,1,1,1,1,1,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,48,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Nephelium hypoleucum,Trees,0,0,1,0,4,80,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Capparis acutifolia,Shrubs,0,0,1,0,4,112,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,2,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,45,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Alpinia galanga,Legume,0,0,0,0,2,96,1,1,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,1,0,1,0,2,10,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Termitomyces microcarpus,Mushroom/Funghi,0,0,1,0,1,48,1,0,1,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,3,45,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,10,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Mangifera sp.,Trees,0,0,1,0,3,144,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,3,45,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,1,0,1,0,2,12,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,30,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,32,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Capparis acutifolia,Shrubs,0,0,1,0,4,192,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Oxalis corniculata,Herbs,0,0,1,0,3,60,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Anoectochilus lylei,Orchids,1,0,0,1,100,600,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,3,45,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Capparis acutifolia,Shrubs,0,0,1,0,1,15,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,20,1,1,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,1,0,1,0,2,14,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,6,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,NA,,0,0,1,0,1,45,1,1,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
