Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
609047,B. Mouangkham,Orchids,107,5,0,0,1,0,0,6,83.3333333333333,0,0,16.6666666666667,0,0
609047,B. Mouangkham,Bees,50,1,0,0,0,0,0,1,100,0,0,0,0,0
609047,B. Mouangkham,Worms,50,1,0,0,0,0,0,1,100,0,0,0,0,0
609047,B. Mouangkham,Liana,20,1,0,0,1,0,1,3,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333
609047,B. Mouangkham,Shrubs,20,1,0,0,0,0,0,1,100,0,0,0,0,0
609046,B. Sanok,Trees,11812,8,1,0,1,0,4,14,57.1428571428571,7.14285714285714,0,7.14285714285714,0,28.5714285714286
609046,B. Sanok,Mushroom/Funghi,10950,12,1,0,3,0,6,22,54.5454545454545,4.54545454545455,0,13.6363636363636,0,27.2727272727273
609046,B. Sanok,Tree/Shrub,7754,5,2,0,3,0,2,12,41.6666666666667,16.6666666666667,0,25,0,16.6666666666667
609046,B. Sanok,Herbs,4266,4,2,0,1,0,0,7,57.1428571428571,28.5714285714286,0,14.2857142857143,0,0
609046,B. Sanok,Bamboo,3820,2,0,0,1,0,0,3,66.6666666666667,0,0,33.3333333333333,0,0
609046,B. Sanok,Shrubs,3770,4,0,0,1,0,0,5,80,0,0,20,0,0
609046,B. Sanok,Vines,2046,3,1,0,1,0,2,7,42.8571428571429,14.2857142857143,0,14.2857142857143,0,28.5714285714286
609046,B. Sanok,Orchids,1550,5,0,0,1,0,3,9,55.5555555555556,0,0,11.1111111111111,0,33.3333333333333
609046,B. Sanok,Legume,600,0,0,0,0,0,1,1,0,0,0,0,0,100
609046,B. Sanok,Liana,300,2,1,0,0,0,0,3,66.6666666666667,33.3333333333333,0,0,0,0
609046,B. Sanok,Rhizomes,124,2,0,0,0,0,0,2,100,0,0,0,0,0
609046,B. Sanok,,50,0,0,0,1,0,0,1,0,0,0,100,0,0
609046,B. Sanok,Grass,0,0,1,0,1,0,0,2,0,50,0,50,0,0
