"","Vil_Code","PCODE","Pname","DCODE","Dname","KCODE","Kname","Vil_Name","SciName","Taxonomy","sell","use","food","medicine","CHECK","Qty_sell","Qty_use","Qty_food","Qty_med","Inc_sell","Inc_use","Inc_food","Inc_medicine","No_HH","Qty_p_HH","Qty","PPU_LAK","PPU_USD","Income_USD","Time_Travel","Status_en","Status_rel","Status_abs","Reason_en","Forest","Riparian","bamboo","bush_fallow","upland_field","others","CHECK_2","Qty_For","Qty_Rip","Qty_Bam","Qty_Bfa","Qty_UpF","Qty_Oth","Inc_For","Inc_Rip","Inc_Bam","Inc_Bfa","Inc_UpF","Inc_Oth","For_sell_inc","For_use_inc","For_food_inc","For_med_inc","Rip_sell_inc","Rip_use_inc","Rip_food_inc","Rip_med_inc","bam_sell_inc","Bam_use_inc","Bam_food_inc","Bam_med_inc","Bfa_sell_inc","Bfa_use_inc","Bfa_food_inc","Bfa_med_inc","UpF_sell_inc","UpF_use_inc","UpF_food_inc","UpF_med_inc","Oth_sell_inc","Oth_use_inc","Oth_food_inc","Oth_med_inc"
"23",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Indosasa sinica","Bamboo",1,1,1,0,3,333.3,333.3,333.3,0,416.625,416.625,416.625,0,50,20,1000,10000,1.25,1250,"60",NA,35,35,NA,1,0,0,0,0,0,1,1000,0,0,0,0,0,1250,0,0,0,0,0,416.6666667,416.6666667,416.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Sinarundinaria microphylla","Bamboo",1,0,1,0,2,250,0,250,0,156.25,0,156.25,0,100,5,500,5000,0.625,312.5,"60",NA,50,50,NA,1,0,0,0,0,0,1,500,0,0,0,0,0,312.5,0,0,0,0,0,156.25,0,156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Dendrobium capillipes","Orchid",1,0,0,1,2,25,0,0,25,531.25,0,0,531.25,10,5,50,170000,21.25,1062.5,"60",NA,90,90,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,1062.5,0,0,0,0,0,531.25,0,0,531.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Anoectochilus lylei","Orchids",1,0,0,1,2,20,0,0,20,1200,0,0,1200,20,2,40,480000,60,2400,"60",NA,80,80,NA,1,0,0,0,0,1,2,20,0,0,0,0,20,1200,0,0,0,0,1200,600,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,600
"27",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Castanopsis sp.","Tree",0,0,1,0,1,0,0,1000,0,0,0,0,0,50,20,1000,0,0,0,"20",NA,60,60,NA,1,1,0,0,0,0,2,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Radermachera ignea","Tree",1,0,1,0,2,25,0,25,0,3.125,0,3.125,0,10,5,50,1000,0.125,6.25,"30",NA,30,30,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,6.3,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Termitomyces indicus","Mushroom/Funghi",1,0,1,0,2,15,0,15,0,9.375,0,9.375,0,6,5,30,5000,0.625,18.75,"30",NA,70,70,NA,1,0,0,0,0,0,1,30,0,0,0,0,0,18.8,0,0,0,0,0,9.4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Calamus sp.","Pea",1,1,1,0,3,83.3,83.3,83.3,0,104.125,104.125,104.125,0,5,50,250,10000,1.25,312.5,"12",NA,60,60,NA,1,0,0,0,0,0,1,250,0,0,0,0,0,312.5,0,0,0,0,0,104.1666667,104.1666667,104.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Russula rosacea","Mushroom/Funghi",1,0,1,0,2,25,0,25,0,375,0,375,0,10,5,50,120000,15,750,"60",NA,80,80,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,750,0,0,0,0,0,375,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Centella asiatica","Herb",1,0,1,1,3,16.7,0,16.7,16.7,2.0875,0,2.0875,2.0875,100,0.5,50,1000,0.125,6.25,"20",NA,40,40,NA,1,1,0,0,0,1,3,16.7,16.7,0,0,0,16.7,2.1,2.1,0,0,0,2.1,0.7,0,0.7,0.7,0.7,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.7,0.7
"33",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Amomum villosum","Cardamom",1,0,0,1,2,2100,0,0,2100,118125,0,0,118125,210,20,4200,450000,56.25,236250,"60",NA,10,10,NA,1,0,0,0,0,0,1,4200,0,0,0,0,0,236250,0,0,0,0,0,118125,0,0,118125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Indosasa sinica","Bamboo",1,0,1,0,2,500,0,500,0,625,0,625,0,50,20,1000,10000,1.25,1250,"60",NA,50,50,NA,1,0,0,0,0,0,1,1000,0,0,0,0,0,1250,0,0,0,0,0,625,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Asparagus acerosus","Shrub/Herb",1,0,1,0,2,100,0,100,0,125,0,125,0,20,10,200,10000,1.25,250,"120",NA,90,90,NA,1,1,0,0,0,0,2,100,100,0,0,0,0,125,125,0,0,0,0,62.5,0,62.5,0,62.5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Alpinia galanga","Herb (bulbiferous)",1,0,1,0,2,2500,0,2500,0,625,0,625,0,100,50,5000,2000,0.25,1250,"60",NA,30,30,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Diplazium esculentum","Fern",1,0,1,0,2,250,0,250,0,31.25,0,31.25,0,50,10,500,1000,0.125,62.5,"30",NA,40,40,NA,1,1,0,0,0,0,2,250,250,0,0,0,0,31.3,31.3,0,0,0,0,15.65,0,15.65,0,15.65,0,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Russula densifolia","Mushroom/Funghi",1,0,1,0,2,25,0,25,0,31.25,0,31.25,0,10,5,50,10000,1.25,62.5,"60",NA,80,80,NA,1,1,1,0,0,1,4,12.5,12.5,12.5,0,0,12.5,15.6,15.6,15.6,0,0,15.6,7.8,0,7.8,0,7.8,0,7.8,0,7.8,0,7.8,0,0,0,0,0,0,0,0,0,7.8,0,7.8,0
"39",207002,2,"Phongsali",207,"BounTai",20701,"Bountai","Boun tay","Tinospora sinensis","Vine",1,0,0,1,2,4.5,0,0,4.5,0,0,0,0,3,3,9,0,0,0,"30",NA,50,50,NA,1,0,0,1,1,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
